District,Street,Community,Coordinates,flagC,flagQ
上城,半山,杭钢尚堂府,,,
上城,半山,田园牧歌麓云苑,,,
上城,半山,联合畔上居,,,
上城,半山,云澜天第,,,
上城,半山,河语光年府,,,
上城,半山,星创晶悦府,,,
上城,半山,香港置地上河公元,,,
上城,半山,招商远洋春秋华庭,,,
上城,半山,上塘宸章,,,
上城,半山,首开天青里,,,
拱墅,长庆,凤起商务大厦,,,
拱墅,长庆,嘉德广场,,,
拱墅,长庆,长庆街,,,
拱墅,长庆,池塘巷5号,,,
拱墅,长庆,太平桥横街,,,
拱墅,长庆,富润里,,,
拱墅,长庆,东清巷,,,
拱墅,长庆,庆春路80到84号,,,
拱墅,长庆,东清大厦,,,
拱墅,长庆,双眼井巷,,,
拱墅,长庆,吴牙新村,,,
拱墅,长庆,天安假日公寓,,,
拱墅,长庆,水陆寺巷,,,
拱墅,长庆,柳营巷,,,
拱墅,长庆,青云街,,,
拱墅,长庆,石匠弄,,,
拱墅,长庆,长宁街,,,
拱墅,长庆,池塘巷9号,,,
拱墅,长庆,林司后,,,
拱墅,长庆,新华路小区,,,
拱墅,长庆,横燕子弄,,,
拱墅,长庆,青春坊,,,
拱墅,长庆,三圣巷,,,
拱墅,长庆,威乙巷,,,
拱墅,长庆,柏枝巷,,,
拱墅,长庆,王马巷,,,
拱墅,长庆,遥祥寺巷,,,
拱墅,长庆,海狮沟,,,
拱墅,长庆,洑家弄,,,
拱墅,长庆,池塘巷2号,,,
拱墅,长庆,凤起都市花园,,,
拱墅,长庆,池塘巷4号,,,
拱墅,长庆,柳营花园西区,,,
拱墅,长庆,柳营花园东区,,,
拱墅,长庆,丽景西苑,,,
拱墅,长庆,金庆公寓,,,
拱墅,朝晖,现代城建大厦,,,
拱墅,朝晖,领骏世界,,,
拱墅,朝晖,国都发展大厦,,,
拱墅,朝晖,德胜新村南,,,
拱墅,朝晖,河东路3号,,,
拱墅,朝晖,东新关,,,
拱墅,朝晖,朝晖九区,,,
拱墅,朝晖,朝晖八区,,,
拱墅,朝晖,朝晖二区,,,
拱墅,朝晖,东方豪园,,,
拱墅,朝晖,石灰坝8号,,,
拱墅,朝晖,中山花园,,,
拱墅,朝晖,朝晖五区,,,
拱墅,朝晖,朝晖四区,,,
拱墅,朝晖,庆晖公寓,,,
拱墅,朝晖,朝晖新城,,,
拱墅,朝晖,朝晖七区,,,
拱墅,朝晖,浙江工业大学教师宿舍,,,
拱墅,朝晖,石灰坝25号,,,
拱墅,朝晖,东新桥,,,
拱墅,朝晖,秋水巷,,,
拱墅,朝晖,环球中心,,,
拱墅,朝晖,文晖苑,,,
拱墅,朝晖,朝晖三区,,,
拱墅,朝晖,石灰坝24号,,,
拱墅,朝晖,朝晖一区,,,
拱墅,朝晖,中北西子花园,,,
拱墅,朝晖,朝晖六区,,,
拱墅,朝晖,黎明园,,,
拱墅,朝晖,长板里,,,
拱墅,朝晖,西湖新城,,,
拱墅,朝晖,潮王公寓,,,
拱墅,朝晖,潮王人家,,,
拱墅,朝晖,中山北路525号,,,
拱墅,朝晖,朝晖路184号,,,
拱墅,朝晖,远大花园,,,
拱墅,朝晖,中山北路601号,,,
拱墅,朝晖,天盛居,,,
拱墅,朝晖,中山北路小区,,,
拱墅,朝晖,中北花园,,,
拱墅,朝晖,中山北园,,,
拱墅,朝晖,华东园,,,
拱墅,朝晖,青园小区,,,
拱墅,朝晖,通盛嘉苑,,,
拱墅,朝晖,绿城深蓝广场,,,
拱墅,朝晖,大家武林府,,,
拱墅,朝晖,昆仑公馆,,,
拱墅,朝晖,武林外滩,,,
拱墅,潮鸣,凤起路,,,
拱墅,潮鸣,双牛大厦,,,
拱墅,潮鸣,凯旋门商业中心,,,
拱墅,潮鸣,大学路13号,,,
拱墅,潮鸣,大学路108号,,,
拱墅,潮鸣,环城东路22号,,,
拱墅,潮鸣,长堤明苑,,,
拱墅,潮鸣,联珠里,,,
拱墅,潮鸣,环城东路16号,,,
拱墅,潮鸣,大学路社区,,,
拱墅,潮鸣,长明寺巷小区,,,
拱墅,潮鸣,建德村,,,
拱墅,潮鸣,马坡巷,,,
拱墅,潮鸣,横河新村,,,
拱墅,潮鸣,清泰街小区,,,
拱墅,潮鸣,潮鸣寺巷,,,
拱墅,潮鸣,长庆里,,,
拱墅,潮鸣,小米巷,,,
拱墅,潮鸣,珠碧一弄12号,,,
拱墅,潮鸣,锅子弄,,,
拱墅,潮鸣,游泳巷16号,,,
拱墅,潮鸣,燕子弄,,,
拱墅,潮鸣,醋坊新村,,,
拱墅,潮鸣,石板巷,,,
拱墅,潮鸣,大学路新村,,,
拱墅,潮鸣,马家弄21.22.25号,,,
拱墅,潮鸣,泰和苑,,,
拱墅,潮鸣,华藏寺巷,,,
拱墅,潮鸣,宏盛公寓社区,,,
拱墅,潮鸣,小河下小区,,,
拱墅,潮鸣,瑞丰格琳酒店,,,
拱墅,潮鸣,老浙大直路11-25号,,,
拱墅,潮鸣,叶家弄,,,
拱墅,潮鸣,长坡里,,,
拱墅,潮鸣,金衙庄公寓,,,
拱墅,潮鸣,建国公寓,,,
拱墅,潮鸣,包龙桥巷,,,
拱墅,潮鸣,游泳巷20号,,,
拱墅,潮鸣,云龙公寓,,,
拱墅,潮鸣,珠碧苑,,,
拱墅,潮鸣,刀茅巷20-79号,,,
拱墅,潮鸣,老浙大横路一弄,,,
拱墅,潮鸣,回龙庙前小区,,,
拱墅,潮鸣,红枫苑,,,
拱墅,潮鸣,建国中路,,,
拱墅,潮鸣,西泠花苑,,,
拱墅,潮鸣,大学路35号,,,
拱墅,潮鸣,老浙大横路三弄,,,
拱墅,潮鸣,潮鸣苑,,,
拱墅,潮鸣,回龙庙前51号,,,
拱墅,潮鸣,凤鸣苑,,,
拱墅,潮鸣,米兰公寓,,,
拱墅,潮鸣,凤起苑,,,
拱墅,潮鸣,大学路110号,,,
拱墅,潮鸣,兴和公寓,,,
拱墅,潮鸣,锦花苑,,,
拱墅,潮鸣,高官弄公寓,,,
拱墅,潮鸣,翰林花园,,,
拱墅,潮鸣,中大凤栖花园,,,
拱墅,潮鸣,万安城市花园南苑,,,
拱墅,潮鸣,万安城市花园东苑,,,
拱墅,潮鸣,檀香园,,,
拱墅,潮鸣,大学苑,,,
拱墅,潮鸣,东河锦园,,,
拱墅,潮鸣,瑞丰格林苑,,,
拱墅,潮鸣,丽景苑(下城),,,
拱墅,潮鸣,云龙十一景,,,
拱墅,潮鸣,凤起潮鸣府,,,
拱墅,崇贤,四维金座,,,
拱墅,崇贤,富春运河赋,,,
拱墅,崇贤,水韵四维苑南区,,,
拱墅,崇贤,赞红星座,,,
拱墅,崇贤,杭钢紫元旭润和府,,,
拱墅,崇贤,陆家桥新苑,,,
拱墅,崇贤,北秀向阳苑西区,,,
拱墅,崇贤,佳维新苑,,,
拱墅,崇贤,莲花公寓,,,
拱墅,崇贤,星海云庭,,,
拱墅,崇贤,崇贤商业中心,,,
拱墅,崇贤,水韵四维苑北区,,,
拱墅,崇贤,北秀向阳苑南区,,,
拱墅,崇贤,龙湖香醍溪岸,,,
拱墅,崇贤,沾桥新苑,,,
拱墅,崇贤,中尚橄榄树花园（北区）,,,
拱墅,崇贤,北秀向阳苑北区,,,
拱墅,崇贤,紫欣华庭,,,
拱墅,崇贤,经纬御贤府,,,
拱墅,崇贤,中尚橄榄树花园（南区）,,,
拱墅,崇贤,君兰华庭,,,
拱墅,崇贤,旭辉府,,,
拱墅,崇贤,绿城云栖燕庐,,,
拱墅,崇贤,中和北宸府,,,
拱墅,崇贤,东晖龙悦湾,,,
拱墅,崇贤,佳源名城,,,
拱墅,崇贤,锦昌年华,,,
拱墅,崇贤,赞成杭家,,,
拱墅,崇贤,杭语清澄,,,
拱墅,崇贤,上亿中央郡,,,
拱墅,崇贤,星合映,,,
拱墅,崇贤,景瑞路劲海逸翠廷,,,
拱墅,崇贤,光合映,,,
拱墅,崇贤,宸瀚里,,,
拱墅,崇贤,崇贤上亿广场,,,
拱墅,崇贤,承安HYGGE源翠府,,,
拱墅,崇贤,香岸华庭,,,
拱墅,崇贤,秋实宸悦居,,,
拱墅,崇贤,路劲银城澜仕里,,,
拱墅,崇贤,望梅华庭,,,
拱墅,崇贤,旭辉贤君庭,,,
拱墅,崇贤,璞悦江南府,,,
拱墅,崇贤,绿都东澜府,,,
拱墅,崇贤,赞成旭辉时代悦章,,,
拱墅,崇贤,西房杭语宸鹭院,,,
拱墅,崇贤,旭辉时代城,,,
拱墅,崇贤,远洋路劲上河宸章,,,
拱墅,崇贤,西房拱宸外滩,,,
拱墅,崇贤,荣安翡翠半岛,,,
拱墅,崇贤,祥生绿都京杭府,,,
拱墅,崇贤,祥生群贤府,,,
拱墅,崇贤,路劲远洋江南院子,,,
拱墅,大关,大关路268号,,,
拱墅,大关,大关南二苑,,,
拱墅,大关,大关南六苑,,,
拱墅,大关,大关东二苑,,,
拱墅,大关,大关南七苑,,,
拱墅,大关,大关东九苑,,,
拱墅,大关,大关南四苑,,,
拱墅,大关,大关东五苑,,,
拱墅,大关,大关东六苑,,,
拱墅,大关,大关东三苑,,,
拱墅,大关,大关南九苑,,,
拱墅,大关,大关西四苑,,,
拱墅,大关,大关南三苑,,,
拱墅,大关,大关东四苑,,,
拱墅,大关,大关东八苑,,,
拱墅,大关,大关南八苑,,,
拱墅,大关,大关西三苑,,,
拱墅,大关,大关西五苑,,,
拱墅,大关,大关西六苑,,,
拱墅,大关,大关南一苑,,,
拱墅,大关,大关东七苑,,,
拱墅,大关,大关南五苑,,,
拱墅,大关,三塘人家,,,
拱墅,大关,大关西八苑,,,
拱墅,大关,大关西七苑,,,
拱墅,大关,香吉公寓,,,
拱墅,大关,大关东一苑,,,
拱墅,大关,长乐路20弄,,,
拱墅,大关,长乐北苑,,,
拱墅,大关,大关东十苑,,,
拱墅,大关,大浒东苑,,,
拱墅,大关,玉兔路小区,,,
拱墅,大关,霞湾巷小区,,,
拱墅,大关,小兜弄,,,
拱墅,大关,长乐南苑,,,
拱墅,大关,大兜路214号,,,
拱墅,大关,大兜弄,,,
拱墅,大关,大兜路198号,,,
拱墅,大关,八丈井新村,,,
拱墅,大关,香兰名院,,,
拱墅,大关,香积寺巷,,,
拱墅,大关,大兜路,,,
拱墅,大关,绿城西子锦兰公寓,,,
拱墅,大关,大兜路96-4号,,,
拱墅,大关,融创金成杭源里,,,
拱墅,大关,大兜路96-5号,,,
拱墅,大关,大兜路90号,,,
拱墅,德胜,新青年广场,,,
拱墅,德胜,德胜新村,,,
拱墅,德胜,假山路5弄,,,
拱墅,德胜,德胜路318号,,,
拱墅,德胜,德胜巷108号,,,
拱墅,德胜,假山路33号,,,
拱墅,德胜,假山路73号,,,
拱墅,德胜,德胜巷98号,,,
拱墅,德胜,假山新村,,,
拱墅,德胜,天时苑(拱墅),,,
拱墅,德胜,盛德欣苑,,,
拱墅,德胜,清水公寓,,,
拱墅,德胜,盛德嘉苑,,,
拱墅,德胜,蓝色霞湾,,,
拱墅,德胜,假山路48号,,,
拱墅,德胜,假山路30号,,,
拱墅,德胜,上岛公馆,,,
拱墅,德胜,德胜东村,,,
拱墅,德胜,杭锅新村,,,
拱墅,德胜,德欣城市嘉园,,,
拱墅,德胜,杭氧宿舍,,,
拱墅,德胜,武林之光,,,
拱墅,德胜,新德佳苑,,,
拱墅,德胜,万科新都会1958,,,
拱墅,德胜,朗诗乐府,,,
拱墅,德胜,熙晖府,,,
拱墅,德胜,中海望庐云起武林,,,
拱墅,丁桥,柏悦公馆,,,
拱墅,丁桥,置鼎明珠1号,,,
拱墅,丁桥,德珠商务中心,,,
拱墅,丁桥,海伦堡星座,,,
拱墅,丁桥,长睦锦苑,,,
拱墅,丁桥,三义锦唐苑,,,
拱墅,丁桥,后珠辰秀嘉园,,,
拱墅,丁桥,珠美都雅苑,,,
拱墅,丁桥,云亭公寓,,,
拱墅,丁桥,丁桥兰苑,,,
拱墅,丁桥,后珠辰秀嘉园南区,,,
拱墅,丁桥,丁桥东兰轩,,,
拱墅,丁桥,启迪协信科技城,,,
拱墅,丁桥,丁桥景园南苑,,,
拱墅,丁桥,华天苑,,,
拱墅,丁桥,丁桥景园北苑,,,
拱墅,丁桥,长睦邻里人家西苑,,,
拱墅,丁桥,长睦家苑,,,
拱墅,丁桥,北城枫景园,,,
拱墅,丁桥,后珠美邻嘉苑,,,
拱墅,丁桥,久睦苑,,,
拱墅,丁桥,阳光逸城,,,
拱墅,丁桥,长睦邻里人家东苑,,,
拱墅,丁桥,丁桥家苑,,,
拱墅,丁桥,后珠家苑,,,
拱墅,丁桥,农港苑,,,
拱墅,丁桥,丁桥大唐苑,,,
拱墅,丁桥,建塘家苑,,,
拱墅,丁桥,城发云锦城,,,
拱墅,丁桥,赵家花苑,,,
拱墅,丁桥,保利罗兰香谷,,,
拱墅,丁桥,北城铭苑,,,
拱墅,丁桥,同协雅苑,,,
拱墅,丁桥,郡上蓝湾,,,
拱墅,丁桥,红郡御庄,,,
拱墅,丁桥,金地乐享湾,,,
拱墅,丁桥,郡枫绿园东区,,,
拱墅,丁桥,同协金座,,,
拱墅,丁桥,玺之湾,,,
拱墅,丁桥,丁桥颐景园,,,
拱墅,丁桥,郡枫绿园西区,,,
拱墅,丁桥,联合格里,,,
拱墅,丁桥,卓越明熙府,,,
拱墅,丁桥,天阳观筑,,,
拱墅,丁桥,卓蓝华庭,,,
拱墅,丁桥,广宇上东领地,,,
拱墅,丁桥,卓悦华庭（上城区）,,,
拱墅,丁桥,广大融城印象,,,
拱墅,丁桥,冠宇隽园,,,
拱墅,丁桥,中豪四季公馆,,,
拱墅,丁桥,杭房城发润如园,,,
拱墅,丁桥,广宇上东名筑,,,
拱墅,丁桥,昆仑天籁,,,
拱墅,丁桥,广宇上东臻品,,,
拱墅,丁桥,广宇东承府,,,
拱墅,丁桥,阳光城翡丽湾,,,
拱墅,丁桥,御东方园,,,
拱墅,丁桥,远洋香奈,,,
拱墅,丁桥,天阳明朗,,,
拱墅,丁桥,中旅城仕公馆,,,
拱墅,丁桥,龙湖花盛郦城,,,
拱墅,丁桥,吟彩芳菲之城,,,
拱墅,丁桥,龙湖名景台一期,,,
拱墅,丁桥,龙湖名景台二期,,,
拱墅,丁桥,电建地产泷悦华府,,,
拱墅,丁桥,天阳融信东寰名邸,,,
拱墅,丁桥,沐春明月,,,
拱墅,丁桥,天阳晴朗,,,
拱墅,丁桥,绿都阅兰府,,,
拱墅,丁桥,龙湖武林上城,,,
拱墅,丁桥,中国电建悦安嘉府,,,
拱墅,拱宸桥,中铁国际公馆,,,
拱墅,拱宸桥,远洋杭州大运河商务区,,,
拱墅,拱宸桥,蚕花园永兴坊,,,
拱墅,拱宸桥,万通中心,,,
拱墅,拱宸桥,上石苑,,,
拱墅,拱宸桥,蚕花园永和坊,,,
拱墅,拱宸桥,蚕花园永庆坊,,,
拱墅,拱宸桥,蚕花园永宁坊,,,
拱墅,拱宸桥,两宜里,,,
拱墅,拱宸桥,蚕花园永安坊,,,
拱墅,拱宸桥,凤亭院,,,
拱墅,拱宸桥,崇庆里,,,
拱墅,拱宸桥,陆家苑,,,
拱墅,拱宸桥,崇盛里,,,
拱墅,拱宸桥,荣华里,,,
拱墅,拱宸桥,舟山东路,,,
拱墅,拱宸桥,胜月院小区,,,
拱墅,拱宸桥,吉庆院,,,
拱墅,拱宸桥,运河东苑,,,
拱墅,拱宸桥,伟华苑小区,,,
拱墅,拱宸桥,普金家园,,,
拱墅,拱宸桥,美好国际大厦,,,
拱墅,拱宸桥,左岸花园,,,
拱墅,拱宸桥,定海西园,,,
拱墅,拱宸桥,七古登市教委宿舍,,,
拱墅,拱宸桥,裕兴院,,,
拱墅,拱宸桥,绍兴新村,,,
拱墅,拱宸桥,登云阁,,,
拱墅,拱宸桥,金都清宸公寓,,,
拱墅,拱宸桥,定海东园,,,
拱墅,拱宸桥,七古登人家,,,
拱墅,拱宸桥,五洋运河人家,,,
拱墅,拱宸桥,亲仁里,,,
拱墅,拱宸桥,拱宸新苑,,,
拱墅,拱宸桥,嘉兴东路,,,
拱墅,拱宸桥,蔡马人家,,,
拱墅,拱宸桥,大浒西苑,,,
拱墅,拱宸桥,北国之春人家,,,
拱墅,拱宸桥,银河嘉园,,,
拱墅,拱宸桥,隽逸花苑,,,
拱墅,拱宸桥,宸铭府西区,,,
拱墅,拱宸桥,紫荆家园,,,
拱墅,拱宸桥,正中尚品庭院,,,
拱墅,拱宸桥,中国铁建国际城,,,
拱墅,拱宸桥,锦昌文华苑,,,
拱墅,拱宸桥,宸麟府,,,
拱墅,拱宸桥,阳光城拱宸府,,,
拱墅,拱宸桥,望澜府,,,
拱墅,拱宸桥,国樾湾,,,
拱墅,拱宸桥,远洋公馆,,,
拱墅,拱宸桥,传宸府,,,
拱墅,拱宸桥,大家绿城金麟府,,,
拱墅,拱宸桥,远洋公馆绿园,,,
拱墅,勾庄,金恒德公寓,,,
拱墅,勾庄,正易国际,,,
拱墅,勾庄,铧广科技大厦,,,
拱墅,勾庄,长吴公寓一区,,,
拱墅,勾庄,运河锦庭三区,,,
拱墅,勾庄,运河锦庭,,,
拱墅,勾庄,德信杭州ONE,,,
拱墅,勾庄,逸居城,,,
拱墅,勾庄,上亿彩虹郡,,,
拱墅,勾庄,名城博园,,,
拱墅,勾庄,赞成赞城,,,
拱墅,勾庄,赞成美树,,,
拱墅,勾庄,瑞麒时代金座,,,
拱墅,勾庄,凯喜雅锦河湾,,,
拱墅,勾庄,海德公园,,,
拱墅,勾庄,世茂璀璨澜庭,,,
拱墅,勾庄,融信大发弘阳沁澜,,,
拱墅,勾庄,城北万象城幸福里,,,
拱墅,勾庄,诗方轩二期,,,
拱墅,勾庄,滨江旭辉万家之星,,,
拱墅,勾庄,万科杭宸一期,,,
拱墅,勾庄,德信大家运河云庄北区,,,
拱墅,和睦,登云路154号,,,
拱墅,和睦,打铁弄15号,,,
拱墅,和睦,长征桥路48弄,,,
拱墅,和睦,和睦南苑,,,
拱墅,和睦,长征桥路42号,,,
拱墅,和睦,华丰新村,,,
拱墅,和睦,莫干山路528号,,,
拱墅,和睦,和睦新村,,,
拱墅,和睦,明真宫,,,
拱墅,和睦,小河佳苑,,,
拱墅,和睦,庆云居,,,
拱墅,和睦,庆隆苑二区,,,
拱墅,和睦,莫干山路558号,,,
拱墅,和睦,庆隆苑一区,,,
拱墅,和睦,广兴新村,,,
拱墅,和睦,三宝郡庭,,,
拱墅,和睦,和睦院,,,
拱墅,和睦,戴陈弄23号,,,
拱墅,和睦,庆隆苑三区,,,
拱墅,和睦,小河路1号,,,
拱墅,和睦,和新北苑,,,
拱墅,和睦,和睦坊,,,
拱墅,和睦,和新南苑,,,
拱墅,和睦,吉兴公寓,,,
拱墅,和睦,都景公寓,,,
拱墅,和睦,景上公寓,,,
拱墅,和睦,联合世纪新筑,,,
拱墅,和睦,小河直街29号,,,
拱墅,和睦,大关公寓,,,
拱墅,和睦,小河直街15号,,,
拱墅,和睦,小河直街53号,,,
拱墅,和睦,凯德湖墅,,,
拱墅,和睦,小河直街39号,,,
拱墅,和睦,中粮大悦城,,,
拱墅,和睦,万科古翠隐秀,,,
拱墅,和睦,滨融府,,,
拱墅,和睦,融信公馆arc,,,
拱墅,和睦,首开杭州金茂府,,,
拱墅,和睦,小河直街,,,
拱墅,和睦,滨江锦绣之城,,,
拱墅,和平,现代置业大厦,,,
拱墅,和平,野风现代之星,,,
拱墅,和平,野风现代中心,,,
拱墅,和平,野风现代之窗,,,
拱墅,和平,文晖路80号,,,
拱墅,和平,德胜路177号,,,
拱墅,和平,文晖里,,,
拱墅,和平,打铁关新村,,,
拱墅,和平,汇融公寓,,,
拱墅,和平,文晖路106号,,,
拱墅,和平,五里塘苑,,,
拱墅,和平,现代雅苑,,,
拱墅,和平,现代名苑,,,
拱墅,和平,现代景苑,,,
拱墅,和平,现代家园,,,
拱墅,和平,紫庭花园,,,
拱墅,和平,九龙仓君玺,,,
拱墅,华家池,同方国际,,,
拱墅,华家池,秋涛北路131号,,,
拱墅,华家池,艮山西路,,,
拱墅,华家池,绿地商业中心,,,
拱墅,华家池,凯林巷,,,
拱墅,华家池,金秋花园,,,
拱墅,华家池,农业厅第三住宅区,,,
拱墅,华家池,省水利厅宿舍,,,
拱墅,华家池,凯旋路212号,,,
拱墅,华家池,浙报宿舍,,,
拱墅,华家池,浙江大学华家池校区,,,
拱墅,华家池,南肖埠文景苑,,,
拱墅,华家池,紫玉名府,,,
拱墅,华家池,茂宸金座,,,
拱墅,华家池,绿地华家池印,,,
拱墅,华家池,滨江华家池,,,
拱墅,湖滨,中河大厦,,,
拱墅,湖滨,中山中路315号,,,
拱墅,湖滨,仁和大厦,,,
拱墅,湖滨,庆春路227号,,,
拱墅,湖滨,解放路,,,
拱墅,湖滨,东方金座,,,
拱墅,湖滨,中山中路321号,,,
拱墅,湖滨,比胜庙巷18号,,,
拱墅,湖滨,东平巷小区,,,
拱墅,湖滨,光复路小区,,,
拱墅,湖滨,平海旺角,,,
拱墅,湖滨,定安路132号,,,
拱墅,湖滨,青年里,,,
拱墅,湖滨,中山中路,,,
拱墅,湖滨,羊坝头30号,,,
拱墅,湖滨,中山中路279弄,,,
拱墅,湖滨,定安路37号,,,
拱墅,湖滨,缸儿巷,,,
拱墅,湖滨,中河中路,,,
拱墅,湖滨,羊血弄,,,
拱墅,湖滨,西湖国贸中心,,,
拱墅,湖滨,积善坊巷,,,
拱墅,湖滨,定安路130号,,,
拱墅,湖滨,开元路小区,,,
拱墅,湖滨,知足路,,,
拱墅,湖滨,邮电路,,,
拱墅,湖滨,东羊血弄,,,
拱墅,湖滨,涌金门社区,,,
拱墅,湖滨,解放路213号,,,
拱墅,湖滨,比胜庙巷13号,,,
拱墅,湖滨,比胜庙巷23号,,,
拱墅,湖滨,比胜庙巷20号,,,
拱墅,湖滨,青年路小区,,,
拱墅,湖滨,青年路42-1号,,,
拱墅,湖滨,鉴衡里,,,
拱墅,湖滨,奎垣巷,,,
拱墅,湖滨,岳王新村,,,
拱墅,湖滨,涌金广场聚景阁,,,
拱墅,湖滨,奎垣巷14号,,,
拱墅,湖滨,祖庙巷45号,,,
拱墅,湖滨,延安路,,,
拱墅,湖滨,洽丰里,,,
拱墅,湖滨,延定巷,,,
拱墅,湖滨,延定巷2号,,,
拱墅,湖滨,中山中路460-466号,,,
拱墅,湖滨,浣纱路,,,
拱墅,湖滨,光复路146-186号,,,
拱墅,湖滨,枝头巷7-28号,,,
拱墅,湖滨,比胜庙巷11号,,,
拱墅,湖滨,三元坊巷,,,
拱墅,湖滨,向阳新村,,,
拱墅,湖滨,中山中路312-404号,,,
拱墅,湖滨,岳王路19号,,,
拱墅,湖滨,宏农里28-30号,,,
拱墅,湖滨,菩提寺路10号,,,
拱墅,湖滨,老水漾桥弄,,,
拱墅,湖滨,将军路,,,
拱墅,湖滨,未央村,,,
拱墅,湖滨,宋浇造巷,,,
拱墅,湖滨,东坡路66号院,,,
拱墅,湖滨,开元路63、65、67、69号,,,
拱墅,湖滨,仁和里,,,
拱墅,湖滨,祖庙巷27号,,,
拱墅,湖滨,邮电路16-38号,,,
拱墅,湖滨,岳王路41号,,,
拱墅,湖滨,蕙宜村,,,
拱墅,湖滨,延庆里6号,,,
拱墅,湖滨,南山路260号,,,
拱墅,湖滨,柳营新村,,,
拱墅,湖滨,蕲王路6号,,,
拱墅,湖滨,平海公寓,,,
拱墅,湖滨,崔家巷,,,
拱墅,湖滨,蕲王路11号,,,
拱墅,湖滨,祖庙巷47-51号,,,
拱墅,湖滨,名珏公寓,,,
拱墅,湖滨,长生路小区,,,
拱墅,湖滨,长生路31号,,,
拱墅,湖滨,思鑫坊,,,
拱墅,湖滨,鸿源坊,,,
拱墅,湖滨,长生路30号,,,
拱墅,湖滨,里仁坊巷,,,
